Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641842b6420513d6af8caf57,606219b72a3d67d493fb9d1c,AWAITING REVIEW,2023-03-20T11:25:46.271000Z,2023-03-20T11:30:44.693000Z,,2023-03-20T11:30:45.662866Z,299,C2AG44FS,158,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842b9089b7fa4b6e798a3,5fe09680a60b5b9d945ca235,AWAITING REVIEW,2023-03-20T11:25:53.982000Z,2023-03-20T11:30:38.422000Z,,2023-03-20T11:30:39.016638Z,285,C2AG44FS,438,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641842b99d619e43e82d9470,5d66a051060e12001994813a,AWAITING REVIEW,2023-03-20T11:25:55.963000Z,2023-03-20T11:27:53.981000Z,,2023-03-20T11:27:54.724966Z,119,C2AG44FS,447,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
641842c3bb258252862c4d8b,62b4d73c1ae1a03b0f502ad9,AWAITING REVIEW,2023-03-20T11:26:01.507000Z,2023-03-20T11:30:33.979000Z,,2023-03-20T11:30:34.739347Z,273,C2AG44FS,155,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641842c5490aa43c162d1094,6065652f94cca7850cbf41b1,AWAITING REVIEW,2023-03-20T11:26:00.521000Z,2023-03-20T11:29:02.706000Z,,2023-03-20T11:29:03.298417Z,183,C2AG44FS,401,"English, French, Spanish",30,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641842c72c19cb55d22c4dcb,61648be296a6aa6811817678,AWAITING REVIEW,2023-03-20T11:26:12.660000Z,2023-03-20T11:28:08.680000Z,,2023-03-20T11:28:09.258900Z,117,C2AG44FS,284,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842cb65732a3644e171af,5e716ca3bea4de092aebb04e,AWAITING REVIEW,2023-03-20T11:26:05.362000Z,2023-03-20T11:27:38.030000Z,,2023-03-20T11:27:38.531302Z,93,C2AG44FS,1059,"Spanish, English",25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842ceca52c95e5326af03,5c5193ae5b0cca0001f9f4d8,AWAITING REVIEW,2023-03-20T11:26:10.343000Z,2023-03-20T11:28:59.816000Z,,2023-03-20T11:29:00.468069Z,170,C2AG44FS,326,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842d42b5aa132198022fc,614d919c66f3501978101559,AWAITING REVIEW,2023-03-20T11:26:16.052000Z,2023-03-20T11:28:44.902000Z,,2023-03-20T11:28:48.446121Z,149,C2AG44FS,647,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641842d47a7db1ed1ce798aa,63d3fcc9e8e35a3d8ddb9ba9,AWAITING REVIEW,2023-03-20T11:26:19.783000Z,2023-03-20T11:46:02.061000Z,,2023-03-20T11:46:02.666521Z,1183,C2AG44FS,51,"English, Arabic",40,Male,Other,Egypt,United Kingdom,Egypt,Arabic,No,Full-Time
